Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
2515302,Sapé,47.353,24.658,25.493,38.149,12.002,50.151
2515401,Seridó,9.106,5.261,4.969,4.597,5.633,10.230
2515500,Serra Branca,12.275,6.331,6.640,8.417,4.554,12.971
2515609,Serra da Raiz,3.436,1.594,1.610,2.135,1.069,3.204
2515708,Serra Grande,2.855,1.502,1.473,1.776,1.199,2.975
2515807,Serra Redonda,7.307,3.361,3.693,3.611,3.443,7.054
2515906,Serraria,6.678,3.093,3.145,3.467,2.771,6.238
2515930,Sertãozinho,3.444,2.143,2.252,3.215,1.180,4.395
2515971,Sobrado,6.885,3.674,3.689,883,6.480,7.363
2516003,Solânea,30.658,12.760,13.929,19.332,7.357,26.689
2516102,Soledade,12.061,6.770,6.969,10.231,3.508,13.739
2516151,Sossêgo,2.598,1.582,1.591,1.586,1.587,3.173
2516201,Sousa,62.635,31.799,34.008,51.885,13.922,65.807
2516300,Sumé,15.035,7.931,8.141,12.240,3.832,16.072
2516409,Tacima,9.388,5.159,5.104,4.371,5.892,10.263
2516508,Taperoá,13.299,7.346,7.592,8.941,5.997,14.938
2516607,Tavares,13.584,7.034,7.069,6.616,7.487,14.103
2516706,Teixeira,11.953,6.934,7.219,9.631,4.522,14.153
2516755,Tenório,2.473,1.468,1.348,1.676,1.140,2.816
2516805,Triunfo,9.053,4.573,4.650,4.312,4.911,9.223
2516904,Uiraúna,13.681,7.014,7.570,10.349,4.235,14.584
2517001,Umbuzeiro,9.192,4.508,4.792,3.986,5.314,9.300
2517100,Várzea,2.051,1.268,1.236,1.835,669,2.504
2517209,Vieirópolis,4.672,2.538,2.507,996,4.049,5.045
2505501,Vista Serrana,3.121,1.819,1.689,1.586,1.922,3.508
2517407,Zabelê,1.853,1.052,1.023,1.472,603,2.075
Total,Paraíba,3.443.825,1.824.495,1.942.339,2.839.002,927.832,3.766.834
"Fonte: IBGE, Resultados do Censo 2010.",,,,,,,
